Title,URL,Genre,Plays,Plays for sorting,Publish Date
Tall Man Run,https://www.youtube.com/playables/UgkxWYxG29y8GASEQHhWfPBFlUdwNwfCQEUK,Action,101 million plays,101000000,20 Feb 2024
Build a Queen,https://www.youtube.com/playables/UgkxyKs3Ve_RG1PMcTKDbdNtSTCmpKj2kDKj,Racing,86 million plays,86000000,20 May 2025
Thief Puzzle,https://www.youtube.com/playables/UgkxF2j4WnOR1kzNBZ1mbhjKyEGLxfAWiOw8,Brain and puzzle,85 million plays,85000000,13 Aug 2024
Stealth Master,https://www.youtube.com/playables/UgkxAa2Gygx3bQRx4kOraVwUFW_3mO1tH0h5,Action,84 million plays,84000000,18 Apr 2024
Snake Clash!,https://www.youtube.com/playables/UgkxEAXMNyB3s1vlIhf7swiCR-shfkYOw2wv,Arcade,82 million plays,82000000,12 Aug 2025
Race Master 3D,https://www.youtube.com/playables/Ugkxk2s909MfhKr5zKwZUPbZdgwXin8tKptu,Racing,79 million plays,79000000,8 Oct 2024
Dessert DIY,https://www.youtube.com/playables/Ugkx5iFcTcmiJFaj-5nMnXmpDh0cqrH3lTxi,Simulation,78 million plays,78000000,25 Jun 2024
Going Balls,https://www.youtube.com/playables/UgkxUP2ow18nGLszSTR08Kg8z1RU1cGNUY_5,Action,74 million plays,74000000,17 Dec 2025
Phone Case DIY,https://www.youtube.com/playables/UgkxTls1MPPPa7ODjUGvnFvPuid7AcanM1Oe,Simulation,63 million plays,63000000,14 May 2024
Hide N Seek,https://www.youtube.com/playables/UgkxgpLJNCNUkCXRVD5HrDZfOHqxtJAX5zET,Action,63 million plays,63000000,30 Apr 2024
Magic Tiles 3,https://www.youtube.com/playables/UgkxBkQcOMCckLj1QkHkxCjjU4JekPgdNsBo,Multiplayer,62 million plays,62000000,
Bridge Race,https://www.youtube.com/playables/UgkxytGBPWPaTj-4F9cRGT8X1JB-j_mbFsN4,Racing,58 million plays,58000000,17 Sept 2024
Hole.io,https://www.youtube.com/playables/UgkxQ-N_EoDel6nf1kv88iwStYkdw2fqekH1,Arcade,57 million plays,57000000,5 Nov 2025
Skincare Time: Makeover ASMR,https://www.youtube.com/playables/Ugkxg8pGToFkef0ZZS87GFq6y0rtCdwJy3MY,Brain and puzzle,57 million plays,57000000,7 May 2025
My Mini Mart,https://www.youtube.com/playables/Ugkxto-OwJZo4rm8Xl2Nj3K403nHlYThf-sr,Simulation,52 million plays,52000000,17 Sept 2024
Sculpt People,https://www.youtube.com/playables/Ugkxe73dhfx91DQ3kG2ARebAOoDSFbSfHv2p,Simulation,49 million plays,49000000,28 May 2024
Supreme Duelist,https://www.youtube.com/playables/UgkxW9qK0UbiouOvSOGkOqC2YPpNmDHgYeQJ,Action,48 million plays,48000000,24 Sept 2024
Color Page ASMR,https://www.youtube.com/playables/UgkxnOvRlIZp-uwV0MhCvN54gukpFctesXu9,Simulation,48 million plays,48000000,9 Jan 2024
Find the Alien,https://www.youtube.com/playables/UgkxX6Rxp43A1J4Lsd-8w9nQnYsj7ZcupfRe,Action,45 million plays,45000000,2 Apr 2024
DOP 4: Draw One Part,https://www.youtube.com/playables/UgkxymTaeEEmPY8v-X36S3PtqbEy8v-m5f1f,Brain and puzzle,41 million plays,41000000,30 Jan 2024
Aquapark.io,https://www.youtube.com/playables/UgkxUJ0DLDpCU23dGI-CzZrHFUK60Iz5n7zh,Racing,38 million plays,38000000,15 Jul 2025
Fork N Sausage,https://www.youtube.com/playables/UgkxJ8HhUksjxAC3No1GfRoBLFLYc8SsLLVv,Arcade,37 million plays,37000000,28 May 2024
Save The Pets,https://www.youtube.com/playables/UgkxRJM_UQffOTWCkiLTJZUZstzIX0ciqi08,Brain and puzzle,35 million plays,35000000,27 Jan 2026
Decor Life - Home Design Game,https://www.youtube.com/playables/UgkxW0zdrtok4czk5IE1sj4MTiaFk45aHfwF,Simulation,Home Design Game – 35 million plays,35000000,25 Jul 2024
Emoji Puzzle,https://www.youtube.com/playables/Ugkx0VoVYc2DncpX5jR5KaUKr_W9rsz8VidL,Brain and puzzle,35 million plays,35000000,12 Mar 2024
DOP 2: Delete One Part,https://www.youtube.com/playables/UgkxlufHVt8aPZZBGb7fCMVnfJsbuZpAdjZQ,Brain and puzzle,33 million plays,33000000,21 May 2024
Fashion Battle,https://www.youtube.com/playables/UgkxBmXJ3VmnS1JrSRApV-p7oOCh4DNo-nr9,Brain and puzzle,32 million plays,32000000,24 Sept 2024
Vehicle Masters,https://www.youtube.com/playables/UgkxUFb1ZqJ_UC0bt-Oy52EIsHEHSQcWhwBP,Simulation,30 million plays,30000000,30 Sept 2025
Zoo - Happy Animals,https://www.youtube.com/playables/UgkxQ93xbDxQOKBFHRxevZRTHAWXkAOprPGK,Simulation,Happy Animals – 29 million plays,29000000,23 Apr 2024
State.io,https://www.youtube.com/playables/Ugkxl5VAVrIKHF5GRmanrMwq2VtumP3V6uOw,Action,29 million plays,29000000,15 Aug 2023
Prison Life: Idle Game,https://www.youtube.com/playables/UgkxbJmo-BsM4vhOteVyDMA5FMwfXdGVg_ZQ,Arcade,27 million plays,27000000,23 Jul 2025
Sword Play,https://www.youtube.com/playables/UgkxFQtI21tiK7V0FmAFLgU2Ew2ZUwqhN9KU,Action,27 million plays,27000000,2 Jul 2024
